Top-Level Management Support,Project Planning,Team Commitment,Team Communication,Team Morale,Average Team Experience,Team Size,Budget,Schedule,Team building and team dyna,Overall quality,Business and revenue genera,Functional suitability,Reliability,Performance efficiency,Operability,Security,Compatibility,Maintainability,Transferability,User satisfaction,Team satisfaction,Top-management satisfaction,Overall success
4,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3.76
4,4,4,4,2,4,5,4,4,3,3,4,4,4,3,3,4,3,4,3,4,4,4,3.65
2,5,3,4,4,3,3,3,3,3,4,3,4,4,3,4,2,4,3,2,4,2,3,3.24
2,5,5,4,2,4,3,3,2,4,3,4,4,4,3,3,2,3,3,3,3,3,4,3.24
5,4,4,5,4,5,3,2,3,3,3,3,4,4,4,3,4,4,3,3,2,3,2,3.18
5,5,5,4,3,2,3,2,2,3,3,3,3,4,3,3,4,3,3,3,3,3,3,2.88
5,2,4,5,3,2,1,1,,3,4,2,4,4,2,4,4,1,3,3,4,2,2,2.76
4,4,4,3,3,4,2,4,4,3,2,1,3,2,2,3,2,2,2,3,3,2,3,2.59
,5,4,4,2,3,3,3,1,3,3,3,3,3,2,4,0,3,2,0,3,3,4,2.59
3,4,4,4,3,2,3,1,1,3,3,3,4,3,2,3,2,3,2,1,3,3,3,2.53
2,5,4,4,3,4,3,,1,3,3,3,3,2,2,3,3,3,2,1,3,3,3,2.47
4,4,3,4,4,3,2,4,2,3,3,,3,3,2,2,3,,2,2,3,3,3,2.47
4,3,4,3,3,2,1,,2,2,3,,3,3,3,3,2,3,3,3,3,3,3,2.47
4,4,4,3,3,3,3,,4,3,3,4,3,2,2,2,2,3,2,2,3,2,2,2.41
3,2,4,3,4,1,3,,1,2,3,3,4,3,2,2,2,3,4,2,3,3,,2.41
3,4,3,3,4,2,2,3,3,2,2,3,3,3,2,1,2,3,3,1,2,1,3,2.35
4,4,2,2,3,2,3,,3,2,2,3,3,3,2,2,2,2,2,3,1,3,4,2.35
3,3,3,2,4,3,3,1,3,2,2,3,4,2,3,2,4,3,0,3,2,0,3,2.35
3,4,4,3,3,2,3,3,4,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2.29
5,4,4,4,3,2,5,1,0,3,2,3,3,3,2,2,4,0,3,0,2,2,3,2.18
4,5,3,3,4,2,2,,3,3,3,3,3,3,3,,,3,3,,3,3,3,2.12
2,3,4,4,3,4,3,1,1,2,2,3,2,3,1,3,2,2,0,0,3,3,2,1.94
2,2,3,3,4,,1,1,0,1,2,2,2,2,2,3,2,2,3,3,2,2,2,1.94
3,2,3,3,4,2,1,,3,2,2,1,2,3,3,3,3,1,2,1,2,2,2,1.94
5,3,5,3,3,2,4,,1,4,2,1,2,3,3,3,4,1,2,1,2,1,2,1.94
5,5,4,4,2,4,2,1,1,2,2,2,2,2,3,2,2,3,,3,2,2,2,1.88
3,3,2,4,1,2,2,,0,2,3,3,3,4,,3,4,3,4,,2,1,,1.88
3,4,5,5,4,5,3,2,1,3,2,1,2,2,2,2,2,2,1,0,2,4,2,1.82
4,4,,,2,1,5,,2,2,2,,4,3,2,1,2,2,1,0,,3,3,1.82
3,4,3,4,2,3,3,,1,3,2,,3,2,2,2,3,2,1,2,2,2,1,1.76
3,3,3,3,3,3,1,0,0,3,3,,,3,3,,2,3,3,,3,2,,1.71
4,3,3,3,3,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.65
1,4,3,2,2,2,3,,1,2,,,3,3,2,2,2,2,2,3,2,2,2,1.65
4,2,4,4,4,2,2,,,2,3,4,4,1,3,2,1,2,1,2,2,,,1.65
2,4,1,3,2,2,5,4,3,2,2,0,0,1,2,1,2,2,0,0,1,1,2,1.53
2,4,4,4,3,,1,3,0,3,2,,2,2,1,3,3,3,1,,,,,1.53
1,2,2,4,3,1,3,3,3,1,1,1,1,1,1,1,1,2,2,2,1,0,2,1.41
1,1,2,1,1,1,1,,0,0,2,2,2,2,1,2,3,0,0,0,2,0,2,1.29
,3,5,5,4,3,1,1,3,3,2,0,2,,,,,,3,2,,2,2,1.29
2,2,3,3,2,2,1,,0,2,2,1,2,1,3,0,1,0,1,2,1,2,1,1.24
3,2,3,3,2,2,4,0,0,1,0,,0,1,1,0,2,2,0,0,1,0,2,0.59
5,2,5,5,3,4,1,0,0,2,1,0,0,,,0,3,,,,1,2,0,0.53
